host,port,location
66.35.68.145,7808,USA	
23.89.198.161,8089,USA	
199.200.120.140,3127,USA	
98.143.148.82,7808,USA	
208.93.198.93,80,USA	
199.241.137.180,8089,USA	
216.74.224.14,3128,USA	
184.105.18.60,8089,USA	
184.105.18.60,7808,USA	
65.48.113.25,9999,USA	
198.144.155.12,7808,USA	
199.200.120.140,7808,USA	
109.99.150.2,8080,Romania	

86.51.26.21,6666,Saudi Arabia	

86.51.26.20,6666,Saudi Arabia	

86.51.26.19,8080,Saudi Arabia	

86.51.26.13,5555,Saudi Arabia	

86.51.26.22,8080,Saudi Arabia	

86.51.26.11,8080,Saudi Arabia	

86.51.26.16,8080,Saudi Arabia	

86.51.26.22,6666,Saudi Arabia	

86.51.26.23,443,Saudi Arabia	

86.51.26.12,5555,Saudi Arabia	

62.176.28.57,8088,Russia	

86.51.26.18,6666,Saudi Arabia	

92.87.49.1,8080,Romania	

95.0.22.1,8080,Turkey	

216.74.224.14,3128,USA	

86.51.26.22,5555,Saudi Arabia	

86.51.26.15,443,Saudi Arabia	

46.10.166.143,8080,Bulgaria	

86.51.26.21,5555,Saudi Arabia	

87.98.145.72,3128,France	

203.114.105.243,8080,Thailand	

89.218.116.66,3128,Kazakhstan	

86.51.26.19,5555,Saudi Arabia	

195.175.62.190,8080,Turkey	

221.181.104.12,8080,China	

219.83.51.150,80,Indonesia	

1.179.147.2,8080,Australia	

211.144.81.68,18000,China	

200.188.217.186,8080,Brazil	

114.80.207.175,810,China	

177.124.60.91,3128,Brazil	

27.254.82.15,18000,Thailand	

94.182.162.242,8080,Iran	

222.66.115.229,80,China	

200.29.67.29,80,Chile	

62.48.186.158,8080,Portugal	

187.125.147.178,3128,Brazil	

212.115.233.64,80,Ukraine	

212.175.88.3,8080,Turkey	

95.52.243.2,3128,Russia	

85.202.7.27,8080,Russia	

221.172.225.28,9000,China	

182.48.191.111,8080,Indonesia	

89.169.27.68,8080,Russia	

189.2.105.19,3128,Brazil	

46.105.42.92,3128,France	

49.0.64.238,8000,Thailand	

183.63.149.110,3128,China	

183.91.70.18,8080,Indonesia	

180.180.122.214,8080,Thailand	

111.68.96.134,8888,Pakistan	

196.200.119.170,8080,Nigeria	

186.42.121.150,80,Ecuador	

122.227.164.15,8118,China	

200.46.24.114,3128,Panama	

88.204.134.214,8080,Kazakhstan	

182.48.191.111,80,Indonesia	

65.48.113.25,9999,USA	

222.169.193.34,3129,China	

109.234.194.242,3128,UK	

41.207.106.165,3128,KENYA	

122.226.12.3,808,China	

79.133.210.30,3128,Poland	

208.93.198.93,80,USA	

188.241.141.112,7808,Romania	

109.185.116.199,8080,Moldova	

187.0.222.167,3128,Brazil	

213.186.122.123,3128,Ukraine	

188.241.141.112,8089,Romania	

89.121.232.210,3128,Romania	

192.116.132.42,8080,Israel	

109.251.10.3,8080,Ukraine	

198.144.155.12,7808,USA	

95.0.23.113,8080,Turkey	

199.200.120.140,7808,USA	

184.105.18.60,7808,USA	

83.146.71.84,3128,Russia	

110.138.248.78,80,Indonesia	

195.122.213.68,8080,Czechia	

212.220.110.238,8080,Russia	

176.31.182.88,3128,France	

199.241.137.180,8089,USA	

199.200.120.140,3127,USA	

84.50.44.92,3128,Estonia	

197.253.6.69,8080,Nigeria	

189.39.124.54,80,Brazil	

217.31.110.70,80,Norway	

98.143.148.82,7808,USA	

177.43.127.11,3128,Brazil	

202.143.122.66,8080,Pakistan	

188.165.244.5,8080,France	

187.111.255.130,3128,Brazil	

79.127.123.98,8080,Iran	

93.115.8.229,8089,Romania	

23.89.198.161,8089,USA	

37.187.32.4,3128,Austria	

82.117.163.74,8080,Russia	

183.221.217.88,8123,China	

121.12.255.212,8086,China	



